Language,Cost,Package,Time,Temperature,Memory
C ,992.0,0.023568479166666666,8.6875,43.09791666666666,919.75
C# ,1285.0,0.13216783333333335,42.5,43.98333333333333,14516.75
C++ ,895.0,0.038098708333333335,12.0,43.87708333333333,3539.5833333333335
Go ,823.0,0.0407740625,13.104166666666666,43.86041666666667,1743.5833333333333
Haskell ,328.0,0.07531097916666667,23.4375,45.07916666666667,8367.666666666666
Java ,919.0,0.6911226875,70.97916666666667,44.768750000000004,27175.166666666668
JavaScript ,727.0,0.5946451666666667,54.770833333333336,44.725,48229.416666666664
Kotlin ,775.0,0.7991103958333333,100.6875,45.15416666666667,28424.0
PHP ,968.0,1.6073697083333334,138.14583333333334,46.11875,29222.5
Prolog ,632.0,0.8000513125,72.95833333333333,44.800000000000004,27873.5
Python Compilled ,421.0,0.06885912500000001,20.083333333333332,45.15208333333334,6093.083333333333
Python Interpreted ,421.0,0.43875125,53.875,45.2125,14140.166666666666
Ruby ,561.0,0.8460667916666668,78.27083333333333,45.643750000000004,23025.583333333332
Rust ,775.0,0.028715812500000003,10.916666666666666,43.77708333333333,2042.3333333333333
